Map Detail Name,ANZSOC Division,ANZSOC Group,Area Unit,Country,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Selected Detail Level,Ta2014 Nam,Geometry,Geometry (MB2014 GV Clipped.shp),Geometry (REGC2014 GV Clipped.shp),Geometry (TA2014 GV Clipped.shp),Number of Victimisations,Selected Geographic Level ,Victimisations
Auckland,Sexual Offences,Unlawful sexual contact of a child,Westlake.,NZ,Auckland Region,Auckland.,1/04/2024,0304800,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of an adult,Newmarket.,NZ,Auckland Region,Auckland.,1/05/2025,0449700,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of a child,Papatoetoe West.,NZ,Auckland Region,Auckland.,1/12/2023,0660100,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Intimate image offences,Mangere Central.,NZ,Auckland Region,Auckland.,1/09/2024,0740500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of an adult,Weiti River.,NZ,Auckland Region,Auckland.,1/03/2024,0175501,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Middlemore.,NZ,Auckland Region,Auckland.,1/05/2025,0786500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of an adult,Warkworth.,NZ,Auckland Region,Auckland.,1/12/2023,0141001,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of an adult,Lynnmall.,NZ,Auckland Region,Auckland.,1/02/2024,0264904,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of an adult,Glenbrook.,NZ,Auckland Region,Auckland.,1/04/2024,0833702,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of an adult,Mt Eden North.,NZ,Auckland Region,Auckland.,1/08/2024,0542600,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Child procurement or grooming,Windsor Park.,NZ,Auckland Region,Auckland.,1/06/2025,0180876,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of a child,Wymondley.,NZ,Auckland Region,Auckland.,1/03/2024,0699900,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of an adult,Ormiston.,NZ,Auckland Region,Auckland.,1/09/2023,0713100,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Onehunga South East.,NZ,Auckland Region,Auckland.,1/03/2025,0602401,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Freemans Bay.,NZ,Auckland Region,Auckland.,1/12/2024,0413500,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of a child,Waiheke Island.,NZ,Auckland Region,Auckland.,1/09/2023,0516601,Auckland Region,Teritorial Authority,Auckland,MultiPolygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of a child,Wattle Farm.,NZ,Auckland Region,Auckland.,1/02/2025,0768300,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Intimate image offences,Weymouth East.,NZ,Auckland Region,Auckland.,1/09/2023,0773200,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Newmarket.,NZ,Auckland Region,Auckland.,1/03/2024,0450300,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of an adult,Manurewa Central.,NZ,Auckland Region,Auckland.,1/02/2024,0751200,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of an adult,Papakura East.,NZ,Auckland Region,Auckland.,1/04/2024,0799107,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of an adult,Auckland Central East.,NZ,Auckland Region,Auckland.,1/09/2024,0436300,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of an adult,Albany.,NZ,Auckland Region,Auckland.,1/05/2025,0179000,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of a child,St Lukes.,NZ,Auckland Region,Auckland.,1/12/2023,0535300,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Offensive sexual acts,Papakura Central.,NZ,Auckland Region,Auckland.,1/04/2025,0793200,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of a child,Owairaka East.,NZ,Auckland Region,Auckland.,1/01/2024,0521300,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of an adult,Kingsland.,NZ,Auckland Region,Auckland.,1/05/2024,0532400,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of a child,Hingaia.,NZ,Auckland Region,Auckland.,1/09/2023,0806601,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual penetration of a child,Hunua.,NZ,Auckland Region,Auckland.,1/02/2025,0814304,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
Auckland,Sexual Offences,Unlawful sexual contact of a child,Sturges North.,NZ,Auckland Region,Auckland.,1/07/2025,0236803,Auckland Region,Teritorial Authority,Auckland,Polygon,Polygon,MultiPolygon,MultiPolygon,1,MultiPolygon,1
